"","X","Y"
"1",-81.783837890625,24.5445800781251
"2",-81.809228515625,24.542333984375
"3",-81.81142578125,24.5578125
"4",-81.76767578125,24.576708984375
"5",-81.738671875,24.575439453125
"6",-81.73974609375,24.5544921875
"7",-81.783837890625,24.5445800781251
"8",-81.56669921875,24.59990234375
"9",-81.6314941406249,24.5900390625
"10",-81.579248046875,24.62939453125
"11",-81.5623046875,24.68916015625
"12",-81.5316406249999,24.64248046875
"13",-81.5322265625,24.61416015625
"14",-81.56669921875,24.59990234375
"15",-81.334814453125,24.65048828125
"16",-81.364794921875,24.629931640625
"17",-81.3790527343749,24.6362792968751
"18",-81.3790527343749,24.6662597656251
"19",-81.4216796875,24.7326171875
"20",-81.4200683593749,24.75
"21",-81.322314453125,24.68505859375
"22",-81.3198242187499,24.667626953125
"23",-81.334814453125,24.65048828125
"24",-81.044189453125,24.7167968750001
"25",-81.0899902343749,24.693115234375
"26",-81.137353515625,24.710498046875
"27",-81.08525390625,24.7341796875
"28",-80.93046875,24.75947265625
"29",-80.988916015625,24.727880859375
"30",-81.044189453125,24.7167968750001
"31",-80.82939453125,24.803662109375
"32",-80.84833984375,24.803662109375
"33",-80.8388671875,24.81787109375
"34",-80.7994140625,24.8462890625
"35",-80.785205078125,24.83525390625
"36",-80.786767578125,24.8210449218751
"37",-80.82939453125,24.803662109375
"38",-80.63828125,24.903173828125
"39",-80.66513671875,24.8984375
"40",-80.6256835937499,24.94111328125
"41",-80.614599609375,24.937939453125
"42",-80.63828125,24.903173828125
"43",-80.3818359375,25.14228515625
"44",-80.58056640625,24.954248046875
"45",-80.5585449218749,25.001318359375
"46",-80.4810546874999,25.101953125
"47",-80.456005859375,25.14931640625
"48",-80.403662109375,25.1793457031251
"49",-80.3549316406249,25.233642578125
"50",-80.35126953125,25.29697265625
"51",-80.28046875,25.341259765625
"52",-80.257080078125,25.347607421875
"53",-80.3818359375,25.14228515625
"54",-82.03720703125,26.45361328125
"55",-82.0728515625,26.4275390625
"56",-82.1449707031249,26.4466796875001
"57",-82.184375,26.48095703125
"58",-82.2013671875,26.548046875
"59",-82.13857421875,26.477001953125
"60",-82.116064453125,26.4609375
"61",-82.03720703125,26.45361328125
"62",-82.0837890625,26.55234375
"63",-82.085205078125,26.493603515625
"64",-82.135595703125,26.5919921875
"65",-82.169140625,26.700732421875
"66",-82.121142578125,26.66552734375
"67",-82.0837890625,26.55234375
"68",-97.170703125,26.159375
"69",-97.1845214843749,26.112939453125
"70",-97.267333984375,26.32978515625
"71",-97.4020996093749,26.8205078125
"72",-97.407177734375,27.1001953125
"73",-97.3859863281249,27.196484375
"74",-97.351220703125,26.80146484375
"75",-97.20224609375,26.2998046875001
"76",-97.170703125,26.159375
"77",-97.35361328125,27.300048828125
"78",-97.384814453125,27.242529296875
"79",-97.376220703125,27.328271484375
"80",-97.29501953125,27.5230957031251
"81",-97.1300292968749,27.779150390625
"82",-97.060546875,27.822021484375
"83",-97.25087890625,27.5412109375
"84",-97.35361328125,27.300048828125
"85",-80.186767578125,27.27841796875
"86",-80.1705078125,27.20478515625
"87",-80.262451171875,27.3755859375
"88",-80.37607421875,27.643408203125
"89",-80.4369140624999,27.850537109375
"90",-80.395751953125,27.79453125
"91",-80.355517578125,27.67861328125
"92",-80.186767578125,27.27841796875
"93",-97.01435546875,27.901611328125
"94",-97.03603515625,27.899169921875
"95",-96.987646484375,27.9810546875
"96",-96.978662109375,28.0138671875
"97",-96.89931640625,28.11748046875
"98",-96.857421875,28.13291015625
"99",-96.83974609375,28.088818359375
"100",-96.921337890625,28.016015625
"101",-97.01435546875,27.901611328125
"102",-96.764404296875,28.152587890625
"103",-96.801123046875,28.1484375
"104",-96.7556152343749,28.20244140625
"105",-96.681640625,28.2296875
"106",-96.5193359375,28.333447265625
"107",-96.453125,28.3405761718751
"108",-96.41865234375,28.3763183593751
"109",-96.403564453125,28.381591796875
"110",-96.4133300781249,28.33779296875
"111",-96.543896484375,28.2755859375
"112",-96.764404296875,28.152587890625
"113",-95.039697265625,29.1458984375
"114",-95.0896484375,29.136328125
"115",-94.8716796875,29.2901367187501
"116",-94.8259765624999,29.34130859375
"117",-94.767626953125,29.3390625
"118",-94.86494140625,29.252880859375
"119",-95.039697265625,29.1458984375
"120",-91.793701171875,29.500732421875
"121",-91.8308593749999,29.486474609375
"122",-91.996240234375,29.5730957031251
"123",-92.006640625,29.610302734375
"124",-91.925048828125,29.6439453125
"125",-91.875244140625,29.640966796875
"126",-91.7964843749999,29.59697265625
"127",-91.76767578125,29.584716796875
"128",-91.754296875,29.56689453125
"129",-91.7619140625,29.539013671875
"130",-91.793701171875,29.500732421875
"131",-84.90791015625,29.642626953125
"132",-85.008251953125,29.606640625
"133",-85.116748046875,29.6328125
"134",-85.04931640625,29.63779296875
"135",-85.000537109375,29.627197265625
"136",-84.877001953125,29.678662109375
"137",-84.8122070312499,29.717626953125
"138",-84.737158203125,29.732421875
"139",-84.90791015625,29.642626953125
"140",-88.889306640625,29.71259765625
"141",-88.943603515625,29.6602539062501
"142",-88.94111328125,29.680224609375
"143",-88.9011718749999,29.7326171875
"144",-88.87265625,29.752978515625
"145",-88.889306640625,29.71259765625
"146",-88.82744140625,29.80771484375
"147",-88.8556640625,29.77587890625
"148",-88.827978515625,29.928369140625
"149",-88.86689453125,30.05673828125
"150",-88.82587890625,30.000390625
"151",-88.81259765625,29.933349609375
"152",-88.82744140625,29.80771484375
"153",-89.223974609375,30.08408203125
"154",-89.220458984375,30.03759765625
"155",-89.26943359375,30.0607421875
